ikan,lat,lon,skor,kedalaman,gelombang,geometry
Cakalang (Katsuwonus pelamis),-7.5,113.25,0.4090977907180786,0.0,0.0,POINT (113.25 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,113.5,0.3372230529785156,0.0,0.0,POINT (113.5 -7.5)
Cakalang (Katsuwonus pelamis),-7.25,106.25,0.3173027038574219,0.0,0.0,POINT (106.25 -7.25)
Cakalang (Katsuwonus pelamis),-7.25,113.5,0.41000181436538696,0.0,0.0,POINT (113.5 -7.25)
Cakalang (Katsuwonus pelamis),-7.0,106.0,0.3066409230232239,0.0,0.0,POINT (106 -7)
Cakalang (Katsuwonus pelamis),-6.75,111.75,0.2920690178871155,0.0,0.0,POINT (111.75 -6.75)
Cakalang (Katsuwonus pelamis),-6.5,110.5,0.29543235898017883,0.0,0.0,POINT (110.5 -6.5)
Cakalang (Katsuwonus pelamis),-6.0,106.5,0.5768206119537354,0.0,0.0,POINT (106.5 -6)
Cakalang (Katsuwonus pelamis),-6.0,106.75,0.4076412320137024,0.0,0.0,POINT (106.75 -6)
Cakalang (Katsuwonus pelamis),-5.75,113.5,0.28977853059768677,0.0,0.0,POINT (113.5 -5.75)
Cakalang (Katsuwonus pelamis),-5.75,114.75,0.2900794744491577,0.0,0.0,POINT (114.75 -5.75)
Cakalang (Katsuwonus pelamis),-5.75,115.0,0.29328930377960205,0.0,0.0,POINT (115 -5.75)
Cakalang (Katsuwonus pelamis),-5.5,115.0,0.29405611753463745,0.0,0.0,POINT (115 -5.5)
Cakalang (Katsuwonus pelamis),-5.25,115.0,0.292072057723999,0.0,0.0,POINT (115 -5.25)
Cakalang (Katsuwonus pelamis),-4.0,106.0,0.42246168851852417,0.0,0.0,POINT (106 -4)
Cakalang (Katsuwonus pelamis),-4.0,114.25,0.28904837369918823,0.0,0.0,POINT (114.25 -4)
Cakalang (Katsuwonus pelamis),-4.0,114.5,0.2922646701335907,0.0,0.0,POINT (114.5 -4)
Cakalang (Katsuwonus pelamis),-3.75,106.0,0.38006672263145447,0.0,0.0,POINT (106 -3.75)
Cakalang (Katsuwonus pelamis),-3.75,111.75,0.29513901472091675,0.0,0.0,POINT (111.75 -3.75)
Cakalang (Katsuwonus pelamis),-3.75,112.0,0.3014141619205475,0.0,0.0,POINT (112 -3.75)
